ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,Class
64,176,16,76,9,0,0,78,8,4,6,9,0,78,1,3,3,-8,91,1,3,-8,100,0
79,225,2,111,22,3,1,82,28,6,3,28,1,14,1,1,1,1,-8,1,1,0,30,1
54,137,7,77,3,13,12,43,8,4,2,16,1,43,0,0,0,13,93,1,1,0,67,0
75,134,3,63,28,1,0,97,80,6,5,34,2,21,2,5,5,16,-8,3,1,0,67,1
63,88,3,44,23,1,1,100,-7,6,8,23,2,57,1,3,3,99,83,5,5,3,91,0
84,345,14,94,42,0,0,95,34,6,6,43,0,9,0,1,1,2,74,2,1,0,17,0
80,208,2,94,17,0,0,100,-7,7,8,19,2,37,0,1,1,49,32,4,2,1,100,1
88,274,11,105,11,0,0,100,-7,7,8,11,1,18,0,0,0,27,1,3,1,0,67,0
61,132,8,69,3,1,1,80,12,6,2,5,2,100,0,0,0,-8,94,-8,2,-8,100,0
81,194,11,91,17,0,0,100,-7,7,8,17,1,41,3,2,2,79,50,1,1,1,100,1
70,187,13,51,31,0,0,100,-7,7,8,31,0,61,0,6,6,41,71,2,6,1,62,0
69,82,7,46,33,0,0,100,-7,7,8,34,3,32,0,0,0,46,81,7,4,2,73,1
80,192,5,66,52,0,0,100,-7,7,8,52,4,8,4,1,1,3,-8,4,1,1,16,1
76,145,16,90,5,1,1,86,60,6,4,7,0,29,0,0,0,0,22,1,1,-8,67,0
69,158,3,53,24,2,0,92,-8,6,5,4,4,23,0,2,2,40,55,8,2,1,63,0
88,145,5,86,23,0,0,100,-7,7,8,24,1,54,0,1,1,6,96,2,2,0,50,1
63,234,25,159,8,2,1,43,23,6,2,14,0,14,0,0,0,33,-8,1,-8,1,33,0
55,378,15,103,22,2,2,75,1,0,2,26,0,29,-7,3,2,40,73,5,3,1,67,0
74,151,10,58,24,0,0,96,80,6,6,24,2,33,0,0,0,55,62,4,2,2,58,0
80,94,8,48,8,0,0,90,12,6,6,10,1,20,3,2,2,33,-8,2,-8,0,50,1
76,150,11,54,14,0,0,100,-7,7,8,15,1,40,0,0,0,32,96,4,2,0,75,0
65,519,7,87,22,0,0,92,8,4,6,24,1,33,1,2,2,65,-8,4,1,1,83,0
69,126,2,48,20,0,0,100,-7,7,8,21,2,43,0,1,1,79,73,5,3,3,67,0
83,187,13,99,12,0,0,92,6,4,6,22,0,17,22,0,0,23,-8,1,1,0,50,1
89,378,7,141,21,0,0,100,-7,7,8,10,1,24,15,0,0,2,6,1,2,0,23,1
86,160,7,129,14,0,0,100,-7,7,8,14,1,64,6,0,0,2,91,2,1,0,100,1
50,243,5,106,21,1,0,86,1,3,5,22,2,14,1,2,2,79,-8,9,1,6,92,1
86,423,10,103,29,0,0,100,-7,7,8,20,1,16,0,1,1,10,56,7,3,0,50,1
70,37,4,20,19,0,0,100,-7,7,8,20,2,20,0,3,3,42,73,2,2,1,50,0
68,123,20,44,7,0,0,86,10,6,6,7,0,29,1,1,1,26,72,2,2,0,80,1
69,198,12,100,18,0,0,89,18,6,6,18,0,61,0,1,1,54,89,4,2,1,100,0
66,54,6,28,10,1,1,100,-7,7,8,10,1,50,-7,2,2,74,57,3,2,1,83,0
70,276,3,83,16,1,0,94,48,6,5,17,2,65,-8,0,0,65,96,4,2,0,86,1
72,290,0,59,21,2,2,92,26,6,6,26,5,35,0,10,9,2,82,4,6,0,58,0
86,234,4,63,13,0,0,100,-7,7,8,13,2,38,0,2,0,0,67,1,2,0,38,0
63,325,3,92,29,0,0,93,12,6,6,30,2,52,-7,2,2,63,65,8,4,3,75,1
88,254,7,102,21,0,0,100,-7,7,8,24,1,54,0,0,0,0,8,3,2,0,100,0
50,239,10,76,21,4,3,72,2,0,2,9,2,36,0,2,2,58,94,5,3,0,80,0
88,354,17,117,21,0,0,100,-7,7,8,21,0,62,-7,0,0,15,-8,2,3,0,71,1
85,141,15,77,25,0,0,96,30,6,6,32,0,12,11,0,0,1,-8,3,1,0,50,1
82,247,21,99,28,0,0,100,-7,7,8,32,0,32,15,0,0,20,30,5,3,1,67,1
58,199,37,83,23,0,0,78,6,4,6,23,0,17,0,0,0,98,2,12,2,8,93,1
59,182,7,105,11,7,3,53,8,4,5,20,2,65,0,0,0,31,92,2,3,0,100,0
85,178,2,74,19,0,0,100,-7,7,8,20,2,25,-8,0,0,6,100,4,2,0,55,1
67,134,13,61,17,0,0,94,20,6,6,17,0,35,0,1,1,22,70,4,5,2,82,0
68,-8,8,45,28,0,0,93,24,6,6,32,3,13,4,1,1,26,83,8,2,2,63,0
88,232,5,92,10,0,0,100,-7,7,8,12,1,70,-8,0,0,0,83,0,3,0,60,1
85,317,21,97,15,0,0,100,-7,7,8,31,0,27,-7,1,1,5,-8,3,-8,1,60,1
80,121,2,81,31,0,0,94,30,6,6,13,4,28,9,0,0,2,89,2,3,0,43,1
88,74,2,120,23,0,0,100,-7,7,8,13,2,25,3,1,1,2,61,3,1,0,56,1
65,80,2,45,31,2,1,81,18,6,4,38,8,27,-7,3,3,8,98,1,3,-8,29,0
65,243,2,77,26,1,0,90,7,4,5,30,3,57,0,6,6,72,100,2,4,-8,86,0
67,87,12,44,20,0,0,90,11,4,6,20,0,35,0,1,1,31,73,3,3,1,60,0
70,70,7,39,6,0,0,100,-7,7,8,6,2,17,0,0,0,96,-8,3,-8,3,75,0
56,82,8,39,6,1,1,86,47,0,6,8,2,71,0,1,1,118,72,1,2,-8,100,0
72,220,7,91,36,0,0,100,-7,7,8,36,4,22,0,1,1,44,86,7,2,2,56,0
88,236,8,91,9,0,0,100,-7,7,8,10,2,40,0,0,0,0,-8,0,2,-8,33,1
67,189,13,111,8,4,4,70,68,6,3,10,0,50,0,1,1,97,-8,1,1,1,100,0
81,151,2,68,51,0,0,100,-7,7,8,53,4,17,3,4,3,11,-8,3,1,1,31,1
62,173,14,86,14,0,0,86,5,4,6,15,0,50,-7,0,0,74,1,3,2,3,71,1
61,395,30,103,8,0,0,73,2,4,6,11,0,18,-8,0,0,79,-8,5,-8,2,100,0
84,217,5,90,17,1,0,95,53,6,5,19,1,47,-8,0,0,3,-8,3,2,0,71,1
68,252,21,114,15,1,0,88,5,4,5,17,0,53,-7,0,0,23,-8,2,3,0,83,1
64,325,15,113,37,1,1,98,46,6,6,37,0,28,0,1,1,21,32,3,2,1,31,1
55,134,68,97,5,1,1,67,7,0,6,6,0,50,1,1,1,0,-8,0,1,-8,33,1
57,225,13,133,24,5,3,71,8,3,2,28,0,36,-7,0,0,94,36,5,3,-8,90,0
77,127,2,62,11,0,0,100,-7,7,8,10,1,25,-7,3,3,28,43,3,2,1,83,0
84,-8,6,62,23,0,0,100,-7,7,8,0,1,9,0,6,6,0,98,0,2,0,29,1
77,258,4,103,26,0,0,100,-7,7,8,27,1,33,8,0,0,31,89,7,3,1,83,1
71,132,9,63,29,0,0,90,2,4,6,31,1,58,0,2,2,23,82,1,4,0,71,0
73,223,23,99,22,0,0,91,9,4,6,23,0,35,4,1,1,6,65,6,2,0,80,1
82,306,17,71,7,0,0,100,-7,7,8,21,0,43,5,0,0,39,-8,2,1,0,75,1
59,52,13,30,10,1,0,73,7,3,5,11,0,45,0,1,1,46,122,1,4,-8,56,0
66,138,6,75,42,0,0,100,-7,5,8,46,2,46,0,1,1,89,92,6,2,2,100,0
81,158,7,78,14,0,0,100,-7,7,8,15,2,21,7,0,0,15,83,2,3,0,63,1
91,412,8,102,18,0,0,100,-7,7,8,19,1,42,5,1,1,4,-8,2,1,0,43,1
79,322,1,92,27,0,0,100,-7,7,8,30,3,20,1,2,2,18,101,6,3,1,56,1
80,193,5,61,38,0,0,95,17,5,6,43,1,16,0,1,1,34,-8,6,1,0,64,1
62,-8,9,42,10,2,1,83,5,3,5,12,2,33,1,1,1,14,90,4,1,1,63,0
92,-8,37,103,19,0,0,100,-7,7,8,0,0,26,0,1,1,0,-8,0,-8,0,0,1
68,181,6,98,2,1,1,67,66,6,3,3,1,100,-7,0,0,-8,-8,-8,1,-8,100,0
66,283,3,95,16,0,0,75,11,4,6,16,2,38,3,4,4,34,-8,3,1,1,57,0
68,259,20,111,13,2,2,71,9,4,3,15,0,29,-8,0,0,4,-8,1,-8,0,33,1
86,12,9,62,6,0,0,100,-7,7,8,2,1,0,1,1,1,7,-8,1,-8,0,25,1
64,31,3,14,6,0,0,100,-7,7,8,6,2,17,0,2,2,68,-8,5,1,1,100,1
74,63,4,41,12,0,0,100,-7,7,8,12,3,42,0,3,3,26,80,3,3,0,75,1
72,183,7,63,15,0,0,100,-7,7,8,15,1,40,0,4,4,61,62,2,1,1,38,0
68,75,4,39,31,1,1,100,-7,7,8,32,4,23,0,1,1,13,87,6,3,1,50,1
84,246,1,69,20,0,0,100,-7,7,8,21,1,33,0,2,2,8,13,4,2,0,60,0
66,202,6,91,36,2,1,90,8,4,5,42,2,69,0,1,1,81,75,4,6,1,100,0
81,117,6,54,14,0,0,93,31,6,6,14,3,21,-7,0,0,2,-8,2,1,0,43,0
71,200,3,83,20,0,0,95,16,6,6,20,1,25,-7,0,0,53,62,7,3,1,71,0
66,76,2,42,6,1,1,100,-7,6,8,8,2,38,0,2,2,48,95,2,2,0,80,0
72,120,5,46,38,0,0,100,-7,7,8,38,5,24,0,2,2,59,78,5,4,4,56,1
62,275,6,99,21,1,1,91,12,6,6,22,1,55,15,0,0,87,71,6,5,5,92,0
51,204,2,71,30,2,2,94,1,4,6,35,6,47,0,4,3,94,51,5,6,5,86,0
72,262,10,91,45,0,0,98,48,6,6,51,3,18,0,6,6,62,-8,6,-8,3,67,1
83,215,8,123,20,0,0,100,-7,7,8,7,1,15,1,2,2,7,-8,3,1,0,40,1
80,368,10,111,25,0,0,96,-8,6,6,28,1,11,0,0,0,31,-8,3,1,2,44,1
74,151,13,66,45,0,0,100,-7,7,8,46,0,9,0,0,0,19,-8,7,1,3,50,1
70,288,8,69,30,0,0,100,-7,7,8,30,2,20,0,1,1,31,94,5,2,2,39,0
74,73,18,46,9,0,0,100,-7,7,8,9,0,11,21,0,0,65,-8,3,-8,1,50,1
80,278,1,98,20,0,0,100,-7,7,8,44,4,43,5,0,0,23,-8,6,2,0,80,1
86,287,15,117,23,0,0,100,-7,7,8,23,0,30,11,0,0,3,54,3,3,0,60,1
76,196,3,69,14,0,0,86,37,6,6,14,3,36,-7,2,2,31,67,3,2,0,83,1
91,425,61,127,14,0,0,100,-7,7,8,15,0,14,-8,0,0,3,-8,4,1,0,71,1
63,99,4,41,20,0,0,100,-7,7,8,20,2,50,2,2,2,70,88,7,2,4,82,0
81,216,0,84,25,0,0,100,-7,7,8,35,1,35,1,1,1,0,-8,1,4,0,38,0
60,60,13,27,6,0,0,88,2,4,6,8,0,63,-7,4,4,60,92,1,3,-8,80,0
67,97,2,46,8,0,0,100,-7,7,8,9,1,33,0,1,1,66,48,5,2,1,88,0
80,226,5,61,24,0,0,96,3,4,6,25,2,48,-7,0,0,0,91,1,6,0,58,0
76,10,2,7,2,0,0,100,-7,7,8,3,3,67,0,1,1,0,-8,0,1,-8,50,0
75,303,4,97,35,1,1,97,29,6,2,37,1,49,0,0,0,6,49,2,2,1,57,1
71,170,9,88,43,2,2,93,6,4,2,46,2,17,0,1,1,33,100,8,4,1,60,0
80,446,20,103,27,0,0,100,-7,7,8,28,0,46,1,2,2,0,10,1,4,1,50,0
64,243,3,56,24,0,0,100,-7,7,8,24,2,25,4,1,1,55,78,9,3,5,80,0
78,179,1,81,24,0,0,100,-7,7,8,26,5,15,0,3,3,12,94,5,2,0,44,1
62,193,3,78,15,2,2,100,-7,6,8,16,2,40,0,3,3,99,38,5,2,3,100,0
83,160,12,83,24,1,0,96,24,6,5,26,0,19,0,0,0,1,19,4,2,0,46,0
72,89,2,44,21,1,1,83,31,6,2,24,2,30,-7,2,2,8,86,2,3,0,100,0
86,464,3,153,33,0,0,100,-7,6,7,34,2,35,5,1,1,4,-8,8,1,0,80,1
82,161,7,77,58,0,0,98,-8,6,6,58,2,12,1,1,1,6,64,4,3,0,33,1
86,168,15,85,33,0,0,97,51,6,6,34,0,38,-7,0,0,3,-8,3,2,0,56,1
72,379,18,131,10,1,0,92,66,6,5,13,0,23,0,2,2,67,-8,2,1,1,43,0
69,127,1,57,16,0,0,94,9,4,6,18,2,28,0,3,2,28,100,3,3,0,60,1
60,94,15,60,2,6,4,11,6,4,2,9,0,22,-8,0,0,19,62,1,1,-8,67,0
85,154,45,159,4,0,0,100,-7,7,8,4,0,50,-8,0,0,53,-8,1,-8,0,100,0
85,147,7,75,36,0,0,97,39,6,6,42,1,22,0,1,1,0,-8,1,1,0,17,1
85,173,2,67,18,0,0,100,-7,7,8,10,2,21,1,2,2,0,-8,1,-8,0,10,1
64,230,11,108,35,0,0,92,4,4,6,39,1,47,2,1,1,56,40,7,8,2,83,1
76,133,26,69,5,0,0,80,25,6,6,5,0,60,-7,1,1,13,65,1,2,0,75,1
66,145,6,91,18,1,1,100,-7,6,8,19,1,21,0,2,2,67,8,7,2,3,69,0
76,157,15,93,10,2,1,91,40,6,5,11,0,18,-8,0,0,0,-8,0,-8,0,0,1
63,191,23,68,12,1,1,92,4,0,6,8,0,58,4,1,1,4,40,1,3,0,67,0
60,184,4,69,35,2,2,100,-7,6,8,35,6,26,-7,5,5,66,42,12,4,10,70,0
90,414,8,102,22,0,0,100,-7,7,8,22,1,36,8,0,0,0,93,1,2,0,33,1
69,218,1,52,15,0,0,100,-7,7,8,35,6,25,9,0,0,71,69,7,3,2,91,0
73,127,5,60,12,0,0,85,11,4,6,13,1,77,8,0,0,-8,66,0,2,0,67,0
64,156,2,60,22,0,0,91,16,6,6,23,3,13,2,3,3,74,91,7,3,1,91,1
67,176,7,73,24,1,1,92,10,4,4,19,3,20,9,0,0,26,-8,9,1,1,65,1
62,341,16,87,12,1,0,93,2,4,5,14,0,14,7,0,0,56,89,6,1,2,78,0
64,233,6,89,39,0,0,100,-7,7,8,39,1,33,0,1,1,63,82,7,7,3,78,1
56,58,33,46,2,0,0,50,2,4,6,2,0,100,0,6,6,-8,-8,-8,1,-8,100,0
58,171,7,49,19,0,0,100,-7,7,8,41,3,25,1,7,7,83,70,8,1,7,69,0
85,364,16,129,14,0,0,93,58,6,6,14,0,36,-7,2,1,3,-8,1,1,-8,67,0
87,254,31,106,14,0,0,100,-7,7,8,14,0,43,0,2,2,5,-8,2,2,0,44,1
73,134,1,33,3,1,1,86,29,6,3,7,3,29,0,2,2,5,-8,2,1,1,75,0
77,229,2,72,28,0,0,100,-7,7,8,33,3,48,0,10,10,30,-8,6,2,2,50,0
54,134,8,64,14,1,1,76,0,4,4,17,1,24,0,0,0,31,-8,4,1,1,63,0
63,59,5,31,17,2,2,95,42,6,2,20,1,53,0,2,2,57,96,2,9,-8,100,0
71,216,6,95,26,1,0,86,13,6,5,28,2,29,17,0,0,51,94,10,3,1,72,0
62,118,6,56,13,1,1,73,5,4,6,16,1,33,0,1,1,39,18,2,2,0,80,0
68,184,10,89,25,0,0,96,62,6,6,27,1,27,-7,12,12,24,84,4,3,2,54,1
91,262,19,101,9,0,0,100,-7,7,8,9,0,0,19,0,0,8,-8,2,-8,0,50,1
66,-8,17,114,15,4,3,68,8,3,2,0,0,42,-7,0,0,8,75,3,2,0,83,1
58,372,45,178,5,8,7,29,4,4,2,14,0,43,-7,1,1,55,-8,1,3,0,100,0
68,155,13,48,10,2,2,90,8,4,6,12,0,40,0,0,0,59,49,3,4,0,100,0
59,174,2,92,10,0,0,69,0,4,6,13,1,62,12,0,0,94,100,3,1,1,80,0
73,255,12,40,10,0,0,100,-7,7,8,35,0,30,-7,3,3,62,73,3,2,2,83,1
63,369,5,131,21,2,2,100,-7,6,8,23,2,57,0,1,1,78,68,4,4,3,80,1
70,125,10,77,13,3,2,72,29,6,4,18,2,44,-7,4,4,9,77,4,2,0,100,0
87,190,16,139,28,0,0,100,-7,7,8,29,0,34,7,0,0,19,-8,3,1,0,50,1
73,335,2,97,13,2,1,76,7,4,4,17,2,35,-7,2,2,0,70,1,5,0,43,1
88,205,8,138,37,0,0,100,-7,7,8,8,1,11,19,0,0,2,-8,4,1,0,24,1
73,94,5,37,34,0,0,97,55,6,6,21,4,29,4,1,1,9,85,6,3,0,47,0
64,116,14,47,43,0,0,100,-7,7,8,48,0,15,0,1,1,59,78,15,2,3,91,1
58,182,1,73,22,1,1,79,2,4,6,24,1,29,1,5,5,0,-8,1,2,0,30,0
73,323,6,102,31,0,0,100,-7,7,8,38,1,19,0,2,1,47,90,8,2,3,59,1
62,88,1,35,20,0,0,95,-8,5,6,22,7,50,0,4,3,30,70,6,5,0,92,0
88,182,17,83,9,0,0,100,-7,7,8,9,0,44,-7,0,0,10,15,2,2,0,67,1
89,180,11,77,37,0,0,100,-7,7,8,41,1,24,5,1,1,1,-8,3,1,0,29,1
88,242,21,97,31,0,0,100,-7,7,8,38,0,23,3,1,1,1,39,4,3,0,33,1
73,336,3,126,26,1,0,93,44,6,5,27,3,74,0,4,4,33,20,2,12,0,82,1
47,204,16,100,25,2,2,89,1,0,6,28,0,21,-7,1,0,76,-8,9,1,3,85,0
82,209,40,107,23,0,0,100,-7,7,8,24,0,21,0,8,8,19,-8,2,1,-8,50,1
68,156,2,65,25,0,0,97,18,6,6,29,2,21,0,0,0,80,-8,3,1,1,80,1
80,230,6,84,34,0,0,94,24,6,6,34,1,32,1,2,2,11,47,5,2,0,64,1
65,202,10,84,28,11,11,87,41,6,6,30,2,33,0,0,0,28,26,3,2,0,38,1
88,278,91,179,4,0,0,100,-7,7,8,5,0,40,0,0,0,6,-8,1,1,-8,100,1
57,89,2,48,25,1,1,89,2,4,2,28,3,32,0,1,1,36,55,9,2,1,73,0
76,333,7,144,25,0,0,100,-7,7,8,25,2,36,10,0,0,40,70,6,4,1,69,0
64,136,0,21,13,0,0,100,-7,7,8,29,5,43,-7,0,0,58,73,4,2,3,75,1
58,353,10,151,42,1,1,95,1,2,4,44,1,30,0,1,1,19,56,9,4,1,56,0
68,265,4,93,31,1,1,91,6,4,6,34,1,62,0,0,0,0,69,1,9,0,85,1
89,393,37,157,5,0,0,100,-7,7,8,6,0,67,0,1,1,0,-8,0,-8,-8,0,0
70,395,3,72,45,0,0,100,-7,7,8,66,1,30,1,3,3,33,100,9,2,1,85,1
81,158,9,64,32,0,0,100,-7,7,8,32,2,50,-7,2,2,14,-8,2,-8,0,17,1
69,115,7,52,18,4,2,82,23,6,3,22,2,18,0,0,0,23,93,5,2,1,41,1
61,137,2,52,12,1,1,93,6,2,4,15,1,20,0,2,2,22,-8,2,1,0,67,0
88,490,4,181,12,0,0,92,36,6,6,12,1,42,-8,0,0,2,96,2,1,0,75,1
69,-8,5,138,30,0,0,97,23,6,6,0,1,20,0,4,3,40,38,12,2,3,74,1
80,136,3,49,24,0,0,100,-7,7,8,25,2,20,-7,2,2,11,-8,2,1,0,38,1
66,184,10,112,15,1,0,56,4,4,5,43,1,28,-7,0,0,58,87,5,2,1,70,0
63,168,3,21,3,1,1,100,-7,7,8,9,1,67,-7,1,1,75,42,1,2,1,100,0
66,133,43,95,16,0,0,94,-8,6,6,17,0,71,0,5,4,30,-8,2,1,1,100,0
80,172,2,32,38,0,0,100,-7,6,7,39,14,33,0,29,29,6,88,5,4,0,38,0
73,221,13,72,12,0,0,92,37,6,6,12,0,25,-7,0,0,94,18,2,2,2,67,0
61,43,3,23,25,0,0,100,-7,7,8,25,6,0,0,6,3,44,-8,12,-8,3,52,0
83,144,18,68,13,0,0,100,-7,7,8,13,0,23,0,0,0,3,-8,3,-8,0,100,0
85,141,12,71,14,0,0,100,-7,7,8,16,0,21,-7,0,0,1,47,2,2,0,44,1
82,207,4,69,18,0,0,100,-7,7,8,22,2,16,4,2,2,0,-8,0,1,0,14,1
91,132,36,143,13,0,0,100,-7,7,8,2,0,8,21,0,0,9,-8,2,-8,0,22,1
79,224,4,84,61,0,0,97,28,6,6,61,4,21,2,4,4,1,98,5,2,1,32,1
69,300,5,66,31,0,0,100,-7,7,8,36,7,16,-7,1,1,44,51,9,3,2,60,0
-9,115,55,78,3,0,0,100,-7,9,8,3,0,100,0,0,0,-8,-8,-8,-8,-8,-8,0
67,192,1,127,15,1,0,68,9,3,5,19,1,21,0,2,2,18,-8,4,1,0,83,1
73,304,18,86,14,1,1,100,-7,7,8,15,0,43,-7,0,0,0,2,1,2,0,43,1
84,195,10,75,29,0,0,100,-7,7,8,30,1,7,0,1,1,5,96,2,2,0,36,1
81,190,8,82,22,0,0,95,-8,6,6,22,3,27,0,0,0,17,49,2,2,0,44,0
74,210,4,80,10,0,0,100,-7,7,8,10,1,40,-7,6,4,87,72,4,3,3,100,0
75,161,2,67,26,0,0,100,-7,7,8,28,2,33,0,1,1,40,75,4,3,1,58,1
66,51,4,24,12,0,0,100,-7,7,8,12,4,58,0,4,4,28,57,2,3,1,71,0
64,222,6,95,16,1,0,82,6,4,5,17,2,47,0,1,1,36,92,5,2,1,70,0
57,360,6,124,40,3,0,93,2,3,5,44,2,25,7,0,0,60,39,9,3,1,86,0
70,258,3,43,27,1,1,100,-7,6,8,41,8,15,0,6,6,5,58,12,2,0,67,0
64,283,3,111,13,3,2,82,62,6,2,17,1,59,0,5,5,60,50,2,1,1,60,0
66,96,6,32,13,0,0,93,20,6,6,14,4,14,5,0,0,33,-8,4,1,1,71,1
90,376,4,130,17,0,0,100,-7,7,8,27,2,53,4,1,1,1,89,2,2,0,57,1
59,180,4,60,49,0,0,98,20,6,6,49,6,37,2,3,3,45,70,10,4,2,82,0
78,207,18,77,9,0,0,100,-7,7,8,9,0,44,6,0,0,21,-8,2,1,1,75,1
81,229,7,82,32,0,0,100,-7,7,8,32,2,25,11,0,0,9,54,10,3,0,65,1
