vseismic,vseismoacoustic,vshift,vgenergy,vgpuls,vgdenergy,vgdpuls,vghazard,vnbumps,vnbumps2,vnbumps3,vnbumps4,vnbumps5,vnbumps6,vnbumps7,vnbumps89,venergy,vmaxenergy,Class
0,0,0,8790,53,-91,-91,0,1,0,1,0,0,0,0,0,3000,3000,0
0,0,0,6130,111,-28,-59,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,9060,165,-67,-66,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,834760,2307,37,18,0,4,0,2,2,0,0,0,0,54000,30000,0
0,0,0,10300,144,13,-22,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,35800,722,27,11,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,7320,177,-71,-65,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,12150,361,-36,-29,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5840,102,-17,-39,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,302440,1250,-16,9,0,2,2,0,0,0,0,0,0,600,300,0
1,0,1,55120,713,85,59,0,2,1,1,0,0,0,0,0,9200,9000,0
0,0,0,18040,317,95,43,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,15160,180,-33,-55,0,1,1,0,0,0,0,0,0,500,500,0
0,1,0,135210,3261,1245,838,1,2,0,1,0,1,0,0,0,208000,200000,0
0,0,1,28570,336,3,-13,0,1,0,1,0,0,0,0,0,2000,2000,0
0,0,0,850,6,-85,-90,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,2580,115,-77,-49,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,27440,635,-5,-28,0,1,1,0,0,0,0,0,0,400,400,0
1,0,0,28290,478,126,91,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2720,23,-34,-42,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3170,36,-88,-79,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,325750,1068,50,67,0,1,0,1,0,0,0,0,0,3000,3000,0
0,0,0,17700,174,-81,-81,0,1,0,1,0,0,0,0,0,2000,2000,0
1,1,0,44240,678,327,79,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,27960,804,95,94,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3610,16,-69,-60,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,9000,241,31,40,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,100190,303,54,52,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,21060,588,-37,-36,1,0,0,0,0,0,0,0,0,0,0,1
1,2,1,57440,538,27,-23,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,34660,516,23,-20,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,28660,471,-3,-6,0,1,1,0,0,0,0,0,0,600,600,0
0,0,0,11730,59,-53,-88,0,1,1,0,0,0,0,0,0,300,300,0
1,1,0,12780,376,23,-1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,210960,773,-44,-35,0,1,0,1,0,0,0,0,0,5000,5000,0
0,0,1,25480,484,-20,-8,0,1,0,1,0,0,0,0,0,7000,7000,0
0,0,0,147520,472,-2,-6,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,31780,538,27,-14,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,47690,518,42,63,0,6,4,2,0,0,0,0,0,7400,3000,0
1,1,1,31160,623,-6,20,0,1,1,0,0,0,0,0,0,400,400,0
1,0,1,39830,636,36,28,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,11630,481,-27,21,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,30130,82,65,57,0,3,3,0,0,0,0,0,0,500,200,0
0,1,1,8260,343,-39,2,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,96070,537,3,19,0,3,1,1,1,0,0,0,0,49200,40000,0
0,0,1,269070,767,-1,4,0,2,2,0,0,0,0,0,0,800,400,0
1,0,1,24400,352,-10,-25,0,1,0,1,0,0,0,0,0,2000,2000,0
0,1,0,24150,364,176,90,0,1,0,1,0,0,0,0,0,5000,5000,0
0,1,1,34750,368,36,-17,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,17500,324,21,22,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,172250,1250,-43,-50,0,2,0,1,1,0,0,0,0,73000,70000,0
0,0,0,6980,37,-10,-81,0,1,1,0,0,0,0,0,0,300,300,0
1,0,1,15130,372,18,51,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,19760,445,114,101,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,60710,782,92,79,0,3,1,2,0,0,0,0,0,4800,2000,0
0,0,1,46740,553,27,29,0,6,3,3,0,0,0,0,0,5800,2000,0
0,0,0,7090,220,-38,-10,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1138340,2106,-20,-20,0,2,0,2,0,0,0,0,0,11000,9000,0
0,0,1,17660,140,-60,-52,0,1,1,0,0,0,0,0,0,900,900,0
1,1,1,22820,833,25,65,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,40900,776,43,57,0,1,1,0,0,0,0,0,0,400,400,0
1,0,1,32310,194,-56,-49,0,4,1,2,1,0,0,0,0,28400,20000,0
0,0,1,16290,463,-4,-17,0,1,0,0,1,0,0,0,0,20000,20000,0
0,1,0,23000,157,-28,-17,0,1,0,1,0,0,0,0,0,2000,2000,0
0,0,0,12960,194,27,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,26800,657,54,13,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,18340,534,3,17,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,19420,279,-35,-13,0,4,3,1,0,0,0,0,0,2800,1000,0
1,1,0,24020,462,-4,-26,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,19120,389,-23,-14,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,541040,1295,-26,-19,1,4,3,1,0,0,0,0,0,4200,3000,0
0,0,0,10410,422,4,21,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,225040,575,-3,5,0,2,0,2,0,0,0,0,0,7000,6000,0
0,0,1,48930,769,54,46,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,22210,658,-48,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,35510,313,8,3,0,1,1,0,0,0,0,0,0,500,500,0
0,0,1,125340,292,35,62,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,190960,1651,58,45,0,2,0,2,0,0,0,0,0,11000,9000,0
0,0,0,41950,135,-39,-36,0,1,0,1,0,0,0,0,0,5000,5000,0
1,0,1,28900,692,0,-13,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,11890,475,23,10,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,26220,707,51,22,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,199030,1255,-30,-45,0,2,2,0,0,0,0,0,0,700,400,1
0,0,1,51950,144,-44,-17,0,2,0,2,0,0,0,0,0,3000,2000,0
0,1,1,104410,631,54,50,0,3,2,1,0,0,0,0,0,1600,1000,0
0,0,1,82480,172,-34,-21,0,1,0,1,0,0,0,0,0,1000,1000,0
0,0,0,3510,19,22,-52,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,380320,1545,-40,-24,0,4,1,2,1,0,0,0,0,30900,20000,1
1,0,1,18420,255,-21,-46,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,10730,542,16,30,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,31800,769,295,313,1,0,0,0,0,0,0,0,0,0,0,1
0,1,0,45150,140,24,-4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4630,89,-56,-42,0,1,0,0,0,0,0,0,0,50,50,1
0,1,0,58410,113,84,88,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,25050,353,-7,-19,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,13990,307,-58,-43,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,12290,471,30,49,0,1,1,0,0,0,0,0,0,500,500,0
0,1,1,1061760,1443,-3,0,0,1,0,1,0,0,0,0,0,3000,3000,1
0,0,1,26620,356,-18,-15,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,32670,476,103,95,0,1,1,0,0,0,0,0,0,800,800,0
0,0,1,11610,315,-21,3,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,19170,158,-44,-46,0,2,1,1,0,0,0,0,0,4500,4000,0
0,0,0,9540,339,3,53,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,226790,717,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,11230,383,19,22,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,44990,508,36,16,0,2,1,1,0,0,0,0,0,5500,5000,0
0,0,1,1988970,3697,78,57,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,10140,176,12,-5,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,9340,153,-10,-60,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,28460,117,-45,-45,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,45330,485,-4,25,0,3,0,2,0,1,0,0,0,402000,400000,0
1,1,1,7770,300,-57,-33,0,1,0,0,1,0,0,0,0,20000,20000,0
0,0,1,18210,150,-54,-51,0,3,1,2,0,0,0,0,0,7700,5000,0
0,1,1,29060,660,125,103,1,1,1,0,0,0,0,0,0,300,300,0
0,0,0,4230,48,-92,-85,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,60340,495,68,96,0,5,3,2,0,0,0,0,0,12500,8000,0
1,0,1,6580,161,-75,-63,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,77040,772,143,-7,0,1,0,1,0,0,0,0,0,2000,2000,0
0,0,1,11210,296,-66,-29,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,64540,215,0,9,0,1,0,1,0,0,0,0,0,6000,6000,0
1,1,1,20610,274,-18,-33,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,29720,368,12,-14,0,1,0,1,0,0,0,0,0,4000,4000,0
0,0,1,8080,294,-48,4,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,12030,308,-16,-26,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,20040,777,99,123,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,118120,1716,-33,-14,0,1,0,0,1,0,0,0,0,20000,20000,0
0,1,0,60460,191,56,29,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,53380,108,-13,-8,0,3,2,1,0,0,0,0,0,1700,1000,0
0,0,0,39040,231,-26,-5,0,1,0,1,0,0,0,0,0,5000,5000,0
0,0,0,4050,34,-31,-37,0,1,1,0,0,0,0,0,0,600,600,0
1,1,1,18580,121,-31,-59,0,2,2,0,0,0,0,0,0,1200,800,0
1,0,1,26860,282,-46,-44,0,2,0,2,0,0,0,0,0,5000,3000,0
1,1,1,109110,417,6,-54,0,2,2,0,0,0,0,0,0,1300,800,0
1,1,0,48590,134,28,84,1,1,0,0,1,0,0,0,0,20000,20000,0
1,0,1,22460,732,69,89,0,1,1,0,0,0,0,0,0,400,400,0
1,1,1,47670,507,40,-11,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,44730,79,-58,-49,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,13460,229,-11,-25,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,52780,350,-30,-16,0,1,1,0,0,0,0,0,0,200,200,0
0,1,1,362360,575,122,93,1,4,2,2,0,0,0,0,0,10400,7000,0
1,0,1,27900,1158,-25,11,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4120,23,-67,-52,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,13160,46,-71,-76,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2820,25,10,-38,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4240,25,19,-38,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,12160,364,-15,-12,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,65240,1008,73,39,0,4,3,1,0,0,0,0,0,2500,1000,0
0,0,0,40370,755,223,202,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,16170,414,-37,6,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,13740,218,-55,-42,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,833250,1840,64,-6,0,4,1,2,1,0,0,0,0,14600,10000,0
0,0,0,6860,282,-45,13,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,18440,403,-50,-34,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,90960,2039,308,243,1,2,0,1,1,0,0,0,0,32000,30000,0
0,1,0,9870,360,5,14,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6070,46,14,-9,0,1,0,1,0,0,0,0,0,3000,3000,0
0,1,1,150220,709,53,-25,0,2,0,1,1,0,0,0,0,23000,20000,0
1,0,1,358490,1231,-36,-58,0,1,1,0,0,0,0,0,0,400,400,0
1,0,1,192650,1185,-8,-14,0,4,2,1,1,0,0,0,0,27100,20000,1
0,0,1,55530,438,-8,18,0,1,0,1,0,0,0,0,0,2000,2000,0
0,0,0,65800,259,-58,-49,0,1,0,1,0,0,0,0,0,4000,4000,0
0,1,1,9410,383,-37,2,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,32240,61,65,18,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,16630,81,-65,-59,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,65150,952,25,60,0,4,3,1,0,0,0,0,0,4100,2000,0
0,0,1,628360,636,-37,-58,0,2,1,1,0,0,0,0,0,2300,2000,0
0,1,1,17470,643,-9,23,0,1,1,0,0,0,0,0,0,300,300,0
1,0,0,285990,1109,67,62,0,1,0,1,0,0,0,0,0,6000,6000,0
0,1,1,21350,376,-38,-31,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,106030,988,148,49,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,6200,211,-50,-16,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,18590,320,-34,-31,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,4390,16,95,-60,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,715540,1471,-13,-4,0,2,2,0,0,0,0,0,0,900,600,1
0,1,0,10520,72,46,1,0,1,0,1,0,0,0,0,0,5000,5000,0
1,1,1,754760,2218,30,15,0,2,1,1,0,0,0,0,0,3200,3000,1
1,0,0,7170,278,-23,-7,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,87060,1043,212,122,0,2,1,1,0,0,0,0,0,2800,2000,0
0,0,0,29290,235,-20,24,0,1,1,0,0,0,0,0,0,500,500,0
1,0,1,20330,413,-42,-25,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,39900,984,-12,41,1,1,0,1,0,0,0,0,0,4000,4000,0
0,0,0,342050,1607,-2,-20,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3320,98,-52,-44,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,43030,625,50,26,0,1,1,0,0,0,0,0,0,300,300,0
0,0,1,29690,636,-10,18,0,1,1,0,0,0,0,0,0,800,800,0
0,1,1,22640,691,32,60,0,2,2,0,0,0,0,0,0,400,300,0
0,1,0,2410,109,-76,-69,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1340,21,-42,-48,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,22900,481,-32,-8,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,23490,748,32,63,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,5420,163,-46,-29,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,9670,186,-59,-7,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,51560,1088,52,8,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4200,74,54,85,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,2595650,4365,81,66,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,28450,528,3,9,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8440,261,-30,6,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1260100,2519,-12,-5,0,1,1,0,0,0,0,0,0,600,600,0
0,1,0,11500,35,13,-30,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2070,14,-23,-65,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,12200,580,105,310,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,4170,224,-78,-64,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,17050,367,19,-12,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,23160,393,-34,-28,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,10370,402,3,16,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5180,167,-43,-10,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,124380,1220,324,146,2,0,0,0,0,0,0,0,0,0,0,0
1,1,0,26360,459,154,21,1,2,2,0,0,0,0,0,0,700,500,0
1,0,1,40250,451,91,91,0,4,3,1,0,0,0,0,0,2900,2000,0
1,1,1,49030,1026,71,34,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,29340,294,-25,-31,0,3,3,0,0,0,0,0,0,1400,600,0
1,1,0,10690,367,182,227,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,23880,488,-4,-22,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,31160,1133,-7,23,1,1,0,1,0,0,0,0,0,5000,5000,0
0,0,1,21280,217,-1,-43,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1367690,2902,0,90,0,4,2,1,1,0,0,0,0,25400,20000,0
0,0,1,28380,628,14,26,0,1,0,0,1,0,0,0,0,20000,20000,0
1,1,1,40030,577,-28,-13,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,24970,325,-35,-26,0,2,0,2,0,0,0,0,0,4000,3000,0
0,1,1,134640,611,-41,-16,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,14350,36,-47,-47,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2440,16,-27,-60,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,24740,530,223,123,2,1,0,1,0,0,0,0,0,7000,7000,0
0,0,1,24650,332,-29,-41,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,154470,263,-21,-24,0,3,1,2,0,0,0,0,0,8400,6000,0
1,0,1,87260,2457,275,258,0,1,0,0,1,0,0,0,0,80000,80000,0
1,1,1,63390,1039,188,179,0,1,0,1,0,0,0,0,0,7000,7000,0
0,0,0,1180,14,-57,-65,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,100960,1183,244,138,1,1,1,0,0,0,0,0,0,100,100,0
1,1,0,21190,402,105,6,1,1,0,1,0,0,0,0,0,6000,6000,0
0,0,1,34600,389,-13,6,0,4,0,4,0,0,0,0,0,15000,8000,1
0,1,1,111510,169,-36,-63,0,2,0,2,0,0,0,0,0,5000,3000,0
0,0,0,37490,224,-70,-51,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,23750,442,32,44,1,1,1,0,0,0,0,0,0,600,600,0
0,1,0,94110,314,-76,-58,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,19120,36,-24,-20,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,56120,222,100,89,0,1,0,1,0,0,0,0,0,5000,5000,0
0,0,0,4810,142,-49,-56,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,15180,196,-3,-21,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,21300,710,19,55,0,1,0,1,0,0,0,0,0,2000,2000,0
0,1,1,9450,209,-63,-59,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,36400,411,-7,-5,0,2,1,1,0,0,0,0,0,8700,8000,0
0,0,0,39660,86,80,87,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,12740,203,-33,-39,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,30750,508,-4,-21,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,581540,2102,7,-23,0,2,1,1,0,0,0,0,0,6500,6000,1
0,0,1,14010,340,-53,-32,0,1,1,0,0,0,0,0,0,600,600,0
0,0,1,37580,574,33,23,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,76200,766,166,71,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,19300,509,60,69,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,106610,546,26,43,0,6,2,4,0,0,0,0,0,20800,7000,1
0,1,1,29380,381,18,-15,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1101540,1185,-7,-14,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,53590,527,68,24,0,1,1,0,0,0,0,0,0,900,900,0
1,0,1,13390,203,-14,-43,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,788230,1484,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,434360,1584,-38,-60,0,2,0,2,0,0,0,0,0,9000,6000,1
0,0,0,4140,186,-67,-26,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,14990,185,-49,-51,0,2,1,1,0,0,0,0,0,4500,4000,1
0,0,0,3110,23,6,-42,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,145440,358,-3,-28,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,72460,150,166,180,1,1,0,1,0,0,0,0,0,1000,1000,0
0,0,1,202640,588,-33,-41,0,2,1,1,0,0,0,0,0,4300,4000,0
0,0,1,26830,192,-77,-88,0,1,1,0,0,0,0,0,0,600,600,0
0,1,0,11400,50,14,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,96600,383,87,70,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1104700,2584,3,33,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,58460,540,73,1,0,2,1,1,0,0,0,0,0,3900,3000,1
0,0,0,3720,43,75,8,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,21900,276,128,71,0,1,1,0,0,0,0,0,0,600,600,0
0,0,1,261010,1352,-38,-19,0,2,1,1,0,0,0,0,0,3700,3000,1
0,0,1,21040,402,-38,-25,0,1,1,0,0,0,0,0,0,300,300,0
0,0,1,42090,794,30,50,0,2,2,0,0,0,0,0,0,400,200,0
0,0,0,45630,155,49,52,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6500,67,-87,-87,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,19790,825,-32,6,1,1,1,0,0,0,0,0,0,400,400,0
0,0,0,12640,57,-63,-52,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,22830,608,53,61,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,27590,314,6,-35,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,49660,747,48,36,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,21000,466,-10,-1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,8880,112,-15,-71,0,1,0,1,0,0,0,0,0,7000,7000,0
1,0,1,507230,2116,-21,-40,0,1,0,1,0,0,0,0,0,3000,3000,0
0,0,0,2910,24,-5,-40,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,7860,165,-21,-28,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6040,112,-44,-24,0,2,1,1,0,0,0,0,0,2400,2000,1
0,1,0,5660,118,59,95,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,5700,135,-50,-40,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2210,34,-64,-51,0,2,1,1,0,0,0,0,0,3400,3000,0
0,1,0,5630,98,64,86,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,30840,1022,235,235,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,41120,132,-21,-43,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,22550,859,-23,10,1,1,1,0,0,0,0,0,0,300,300,0
0,1,1,15930,171,-2,-21,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,6020,129,-71,-64,0,0,0,0,0,0,0,0,0,0,0,0
