height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,class
8,14,112,1.75,0.446,0.973,2.27,50,109,22,1
8,6,48,0.75,0.313,0.813,1.88,15,39,8,1
9,1,9,0.111,1.0,1.0,9.0,9,9,1,1
187,141,26367,0.754,0.415,0.884,4.69,10947,23301,2333,3
13,67,871,5.154,0.441,0.83,5.19,384,723,74,1
9,21,189,2.333,0.519,0.942,3.27,98,178,30,1
8,70,560,8.75,0.388,0.841,2.21,217,471,98,1
16,427,6832,26.688,0.4,0.632,5.56,2736,4316,492,1
11,81,891,7.364,0.339,0.695,2.77,302,619,109,1
7,16,112,2.286,0.313,0.973,1.75,35,109,20,1
9,47,423,5.222,0.362,0.905,2.01,153,383,76,1
2,32,64,16.0,0.516,0.531,33.0,33,34,1,2
7,34,238,4.857,0.223,0.916,1.33,53,218,40,1
11,245,2695,22.273,0.252,0.829,1.86,678,2235,365,1
7,14,98,2.0,0.357,0.867,1.75,35,85,20,1
14,265,3710,18.929,0.354,0.565,4.47,1315,2097,294,1
10,10,100,1.0,0.56,0.69,28.0,56,69,2,1
27,320,8640,11.852,0.321,0.561,4.53,2774,4845,613,1
1,11,11,11.0,0.909,1.0,10.0,10,11,1,2
9,111,999,12.333,0.209,0.571,1.57,209,570,133,1
9,250,2250,27.778,0.347,0.737,2.44,781,1659,320,1
1,16,16,16.0,0.938,1.0,15.0,15,16,1,2
7,1,7,0.143,1.0,1.0,7.0,7,7,1,4
5,3,15,0.6,0.6,0.6,9.0,9,9,1,1
1,19,19,19.0,0.579,1.0,3.67,11,19,3,2
11,76,836,6.909,0.254,0.688,2.08,212,575,102,1
10,261,2610,26.1,0.264,0.679,1.77,689,1771,390,1
8,256,2048,32.0,0.124,0.563,1.26,253,1153,200,1
6,48,288,8.0,0.316,0.965,1.57,91,278,58,1
11,185,2035,16.818,0.487,0.883,4.5,991,1796,220,1
8,15,120,1.875,0.267,0.908,1.23,32,109,26,1
11,90,990,8.182,0.47,0.718,4.6,465,711,101,1
8,44,352,5.5,0.415,0.949,2.06,146,334,71,1
1,8,8,8.0,1.0,1.0,8.0,8,8,1,2
11,8,88,0.727,0.443,0.466,39.0,39,41,1,1
8,46,368,5.75,0.318,0.818,2.09,117,301,56,1
6,27,162,4.5,0.475,0.809,2.33,77,131,33,1
9,268,2412,29.778,0.465,0.694,6.3,1122,1675,178,1
9,82,738,9.111,0.37,0.924,2.39,273,682,114,1
10,260,2600,26.0,0.282,0.737,1.78,732,1916,412,1
2,475,950,237.5,0.504,0.544,95.8,479,517,5,2
7,20,140,2.857,0.25,0.657,1.46,35,92,24,1
9,84,756,9.333,0.329,0.632,2.08,249,478,120,1
9,457,4113,50.778,0.173,0.63,1.28,712,2590,555,1
12,62,744,5.167,0.234,0.66,1.58,174,491,110,1
10,33,330,3.3,0.282,0.839,1.82,93,277,51,1
63,79,4977,1.254,0.338,0.345,186.78,1681,1718,9,3
1,9,9,9.0,0.889,1.0,8.0,8,9,1,2
9,56,504,6.222,0.339,0.931,2.22,171,469,77,1
11,94,1034,8.545,0.28,0.675,2.03,290,698,143,1
12,90,1080,7.5,0.183,0.716,1.92,198,773,103,1
8,20,160,2.5,0.375,0.725,1.88,60,116,32,1
8,22,176,2.75,0.375,0.909,1.78,66,160,37,1
10,121,1210,12.1,0.402,0.849,2.7,486,1027,180,1
4,24,96,6.0,0.573,0.958,2.04,55,92,27,1
9,37,333,4.111,0.213,0.706,1.54,71,235,46,1
10,19,190,1.9,0.542,0.768,7.36,103,146,14,1
11,165,1815,15.0,0.354,0.706,3.38,643,1282,190,1
8,19,152,2.375,0.421,0.974,1.83,64,148,35,1
9,535,4815,59.444,0.146,0.634,1.32,704,3052,534,1
10,31,310,3.1,0.339,0.713,2.14,105,221,49,1
10,38,380,3.8,0.432,0.939,2.78,164,357,59,1
8,18,144,2.25,0.403,0.896,2.52,58,129,23,1
15,268,4020,17.867,0.413,0.731,5.1,1661,2940,326,1
6,12,72,2.0,0.361,0.903,1.44,26,65,18,1
10,13,130,1.3,0.108,0.685,2.33,14,89,6,1
9,40,360,4.444,0.506,0.964,3.08,182,347,59,1
8,126,1008,15.75,0.188,0.685,1.27,189,690,149,1
6,15,90,2.5,0.278,0.744,1.92,25,67,13,1
10,66,660,6.6,0.273,0.661,1.94,180,436,93,1
7,41,287,5.857,0.213,0.801,1.36,61,230,45,1
54,357,19278,6.611,0.299,0.655,6.4,5766,12626,901,5
5,43,215,8.6,0.265,0.786,1.33,57,169,43,1
7,12,84,1.714,0.393,0.69,2.36,33,58,14,1
1,14,14,14.0,0.929,1.0,13.0,13,14,1,2
8,2,16,0.25,0.563,0.563,9.0,9,9,1,1
8,82,656,10.25,0.398,0.951,2.51,261,624,104,1
9,59,531,6.556,0.492,0.861,3.22,261,457,81,1
12,7,84,0.583,0.56,1.0,5.22,47,84,9,1
5,4,20,0.8,0.7,1.0,2.33,14,20,6,1
7,26,182,3.714,0.374,0.846,1.66,68,154,41,1
6,106,636,17.667,0.129,0.835,1.14,82,531,72,1
9,134,1206,14.889,0.216,0.68,1.65,260,820,158,1
1,126,126,126.0,0.992,1.0,125.0,125,126,1,2
9,150,1350,16.667,0.237,0.579,1.75,320,782,183,1
7,41,287,5.857,0.185,0.638,1.51,53,183,35,1
7,10,70,1.429,0.286,0.771,2.22,20,54,9,1
5,4,20,0.8,0.45,0.8,3.0,9,16,3,1
9,16,144,1.778,0.215,0.764,1.55,31,110,20,1
7,29,203,4.143,0.365,0.946,2.0,74,192,37,1
6,96,576,16.0,0.309,0.644,2.44,178,371,73,1
6,97,582,16.167,0.299,0.701,1.85,174,408,94,1
6,96,576,16.0,0.234,0.668,2.01,135,385,67,1
10,19,190,1.9,0.553,0.805,7.5,105,153,14,1
6,46,276,7.667,0.322,0.877,1.48,89,242,60,1
9,76,684,8.444,0.363,0.874,2.18,248,598,114,1
6,89,534,14.833,0.298,0.758,1.61,159,405,99,1
7,17,119,2.429,0.311,0.908,1.54,37,108,24,1
17,245,4165,14.412,0.913,0.997,12.97,3801,4152,293,1
10,48,480,4.8,0.579,0.706,6.04,278,339,46,1
8,24,192,3.0,0.339,0.917,1.81,65,176,36,1
5,7,35,1.4,0.4,0.657,2.33,14,23,6,1
10,27,270,2.7,0.367,0.744,2.02,99,201,49,1
11,86,946,7.818,0.332,0.808,2.2,314,764,143,1
10,23,230,2.3,0.261,0.787,1.76,60,181,34,1
10,499,4990,49.9,0.147,0.631,1.27,733,3150,575,1
12,284,3408,23.667,0.325,0.725,2.87,1109,2471,386,1
9,36,324,4.0,0.352,0.806,1.75,114,261,65,1
2,64,128,32.0,0.43,0.602,3.93,55,77,14,2
14,253,3542,18.071,0.372,0.826,4.36,1317,2924,302,1
7,38,266,5.429,0.338,0.729,1.55,90,194,58,1
8,29,232,3.625,0.444,1.0,2.15,103,232,48,1
9,83,747,9.222,0.335,0.843,2.05,250,630,122,1
54,48,2592,0.889,0.143,0.264,6.85,370,685,54,5
8,34,272,4.25,0.357,0.75,1.87,97,204,52,1
5,5,25,1.0,0.72,0.72,18.0,18,18,1,1
63,66,4158,1.048,0.491,0.591,44.37,2041,2458,46,3
6,184,1104,30.667,0.272,0.697,1.54,300,770,195,1
6,12,72,2.0,0.319,1.0,1.53,23,72,15,1
10,55,550,5.5,0.678,0.827,6.32,373,455,59,1
26,184,4784,7.077,0.773,0.886,16.88,3696,4241,219,1
7,61,427,8.714,0.241,0.794,1.47,103,339,70,1
9,4,36,0.444,0.444,1.0,8.0,16,36,2,1
9,5,45,0.556,0.711,0.889,10.67,32,40,3,1
1,40,40,40.0,0.4,1.0,1.07,16,40,15,1
9,225,2025,25.0,0.198,0.741,1.41,400,1501,283,1
9,16,144,1.778,0.208,0.542,2.14,30,78,14,1
7,123,861,17.571,0.419,0.962,2.62,361,828,138,1
10,151,1510,15.1,0.381,0.785,3.48,575,1186,165,1
9,321,2889,35.667,0.154,0.553,1.32,446,1597,339,1
8,6,48,0.75,0.375,0.792,3.0,18,38,6,1
12,10,120,0.833,0.675,0.783,11.57,81,94,7,1
6,14,84,2.333,0.321,0.881,1.8,27,74,15,1
1,152,152,152.0,0.822,1.0,11.36,125,152,11,2
1,117,117,117.0,0.974,1.0,38.0,114,117,3,2
5,34,170,6.8,0.224,0.606,1.31,38,103,29,1
7,16,112,2.286,0.438,0.857,2.04,49,96,24,1
10,41,410,4.1,0.278,0.632,1.93,114,259,59,1
7,13,91,1.857,0.374,1.0,1.89,34,91,18,1
5,115,575,23.0,0.417,0.92,2.03,240,529,118,1
6,29,174,4.833,0.333,0.799,1.53,58,139,38,1
7,21,147,3.0,0.32,0.714,1.68,47,105,28,1
9,295,2655,32.778,0.2,0.559,1.5,531,1483,354,1
8,8,64,1.0,0.203,0.344,4.33,13,22,3,1
7,4,28,0.571,0.25,0.857,2.33,7,24,3,1
8,38,304,4.75,0.408,0.964,1.65,124,293,75,1
29,48,1392,1.655,0.116,0.268,5.06,162,373,32,5
10,511,5110,51.1,0.134,0.557,1.28,684,2846,534,1
8,108,864,13.5,0.196,0.686,1.34,169,593,126,1
9,29,261,3.222,0.234,0.709,1.3,61,185,47,1
83,277,22991,3.337,0.18,0.365,6.86,4138,8387,603,5
6,7,42,1.167,0.5,0.976,2.1,21,41,10,1
9,21,189,2.333,0.243,0.757,1.31,46,143,35,1
9,82,738,9.111,0.247,0.935,2.09,182,690,87,1
8,7,56,0.875,0.411,1.0,2.09,23,56,11,1
7,8,56,1.143,0.268,0.768,1.07,15,43,14,1
24,281,6744,11.708,0.468,0.903,7.95,3155,6088,397,1
13,57,741,4.385,0.745,1.0,11.5,552,741,48,1
11,35,385,3.182,0.335,0.584,4.78,129,225,27,1
24,177,4248,7.375,0.514,0.961,8.02,2182,4082,272,1
10,33,330,3.3,0.394,0.645,3.25,130,213,40,1
25,153,3825,6.12,0.255,0.611,2.08,977,2338,470,1
9,151,1359,16.778,0.139,0.549,1.17,189,746,162,1
8,53,424,6.625,0.347,0.767,1.93,147,325,76,1
168,145,24360,0.863,0.798,0.963,13.06,19430,23457,1488,3
9,185,1665,20.556,0.386,0.686,2.83,643,1142,227,1
10,34,340,3.4,0.356,0.744,1.98,121,253,61,1
7,19,133,2.714,0.263,0.662,1.35,35,88,26,1
1,131,131,131.0,0.977,1.0,64.0,128,131,2,2
9,17,153,1.889,0.451,0.941,2.46,69,144,28,1
8,41,328,5.125,0.424,0.966,2.53,139,317,55,1
11,262,2882,23.818,0.259,0.788,1.94,747,2271,386,1
10,143,1430,14.3,0.355,0.775,2.33,508,1108,218,1
7,20,140,2.857,0.436,0.736,2.35,61,103,26,1
8,68,544,8.5,0.336,0.868,1.91,183,472,96,1
6,8,48,1.333,0.563,0.958,3.38,27,46,8,1
11,13,143,1.182,0.42,0.979,2.22,60,140,27,1
38,69,2622,1.816,0.476,0.839,4.27,1247,2201,292,1
7,30,210,4.286,0.329,1.0,1.38,69,210,50,1
11,42,462,3.818,0.284,0.654,1.93,131,302,68,1
8,25,200,3.125,0.28,0.825,1.6,56,165,35,1
8,12,96,1.5,0.417,0.802,2.11,40,77,19,1
9,534,4806,59.333,0.131,0.516,1.31,629,2482,479,1
8,6,48,0.75,0.583,0.813,7.0,28,39,4,1
7,28,196,4.0,0.306,0.847,1.58,60,166,38,1
8,202,1616,25.25,0.313,0.689,1.83,505,1114,276,1
10,58,580,5.8,0.402,0.893,2.81,233,518,83,1
9,13,117,1.444,0.103,0.752,4.0,12,88,3,2
12,83,996,6.917,0.301,0.814,1.99,300,811,151,1
7,11,77,1.571,0.117,0.494,1.8,9,38,5,5
7,155,1085,22.143,0.178,0.614,1.46,193,666,132,1
3,550,1650,183.33,0.339,0.401,15.11,559,662,37,2
9,42,378,4.667,0.325,0.823,1.71,123,311,72,1
9,25,225,2.778,0.329,0.502,2.55,74,113,29,1
9,18,162,2.0,0.623,0.864,7.77,101,140,13,1
6,11,66,1.833,0.348,1.0,1.53,23,66,15,1
8,7,56,0.875,0.375,1.0,2.63,21,56,8,1
12,8,96,0.667,0.615,0.969,5.9,59,93,10,1
7,20,140,2.857,0.429,1.0,1.94,60,140,31,1
3,541,1623,180.33,0.71,0.747,88.62,1152,1213,13,2
7,12,84,1.714,0.357,0.81,1.67,30,68,18,1
8,12,96,1.5,0.385,0.948,1.48,37,91,25,1
3,31,93,10.333,0.226,0.774,2.1,21,72,10,1
8,33,264,4.125,0.356,0.705,2.0,94,186,47,1
6,100,600,16.667,0.345,0.795,1.68,207,477,123,1
12,50,600,4.167,0.345,0.627,2.72,207,376,76,1
8,20,160,2.5,0.394,0.944,2.25,63,151,28,1
166,472,78352,2.843,0.359,0.547,17.12,28093,42821,1641,3
9,41,369,4.556,0.301,0.886,1.91,111,327,58,1
16,359,5744,22.438,0.376,0.652,5.41,2158,3747,399,1
3,11,33,3.667,0.364,0.667,3.0,12,22,4,2
9,75,675,8.333,0.369,0.936,2.09,249,632,119,1
83,149,12367,1.795,0.388,0.472,28.77,4804,5838,167,3
7,54,378,7.714,0.254,0.608,1.39,96,230,69,1
14,201,2814,14.357,0.373,0.641,4.84,1050,1804,217,1
8,39,312,4.875,0.362,0.881,1.74,113,275,65,1
10,535,5350,53.5,0.166,0.681,1.32,889,3646,671,1
7,59,413,8.429,0.15,0.576,1.38,62,238,45,1
187,137,25619,0.733,0.899,0.991,29.29,23025,25400,786,3
8,12,96,1.5,0.458,0.927,2.2,44,89,20,1
8,26,208,3.25,0.399,0.976,1.93,83,203,43,1
1,14,14,14.0,1.0,1.0,14.0,14,14,1,2
12,72,864,6.0,0.635,0.94,5.97,549,812,92,1
7,14,98,2.0,0.5,1.0,2.72,49,98,18,1
7,140,980,20.0,0.131,0.666,1.28,128,653,100,1
1,22,22,22.0,0.591,1.0,2.6,13,22,5,1
7,79,553,11.286,0.566,0.967,3.56,313,535,88,1
10,30,300,3.0,0.427,0.78,2.78,128,234,46,1
5,7,35,1.4,0.571,1.0,2.5,20,35,8,1
8,41,328,5.125,0.335,0.933,2.08,110,306,53,1
8,14,112,1.75,0.295,0.857,1.83,33,96,18,1
10,58,580,5.8,0.3,0.84,2.17,174,487,80,1
4,194,776,48.5,0.263,0.273,34.0,204,212,6,2
7,15,105,2.143,0.114,0.295,2.4,12,31,5,5
8,13,104,1.625,0.49,0.913,2.68,51,95,19,1
6,13,78,2.167,0.256,0.974,1.54,20,76,13,1
9,12,108,1.333,0.648,0.741,10.0,70,80,7,1
10,12,120,1.2,0.55,0.875,4.71,66,105,14,1
7,15,105,2.143,0.181,0.61,2.71,19,64,7,1
8,12,96,1.5,0.427,0.875,2.56,41,84,16,1
11,262,2882,23.818,0.238,0.57,1.84,685,1643,373,1
10,39,390,3.9,0.31,0.779,1.95,121,304,62,1
16,29,464,1.813,0.144,0.496,2.58,67,230,26,5
11,147,1617,13.364,0.32,0.607,2.2,518,982,235,1
4,44,176,11.0,0.267,0.614,1.81,47,108,26,1
8,54,432,6.75,0.183,0.734,1.34,79,317,59,1
8,21,168,2.625,0.417,0.958,1.94,70,161,36,1
9,42,378,4.667,0.429,0.976,2.75,162,369,59,1
8,10,80,1.25,0.288,0.813,1.64,23,65,14,1
9,76,684,8.444,0.436,0.955,2.37,298,653,126,1
1,36,36,36.0,0.306,1.0,1.83,11,36,6,2
8,31,248,3.875,0.327,0.79,1.84,81,196,44,1
10,13,130,1.3,0.385,0.823,2.0,50,107,25,1
7,7,49,1.0,0.265,0.612,3.25,13,30,4,1
11,9,99,0.818,0.465,0.687,5.75,46,68,8,1
6,13,78,2.167,0.436,0.756,2.27,34,59,15,1
9,22,198,2.444,0.268,0.596,3.31,53,118,16,1
1,63,63,63.0,1.0,1.0,63.0,63,63,1,2
9,201,1809,22.333,0.152,0.456,1.27,275,825,216,1
6,19,114,3.167,0.289,0.789,1.38,33,90,24,1
7,22,154,3.143,0.247,0.714,1.23,38,110,31,1
7,198,1386,28.286,0.17,0.713,1.36,236,988,174,1
2,537,1074,268.5,0.507,0.528,181.33,544,567,3,2
10,511,5110,51.1,0.115,0.414,1.53,588,2114,385,1
7,189,1323,27.0,0.339,0.704,1.89,449,932,237,1
7,135,945,19.286,0.202,0.732,1.43,191,692,134,1
16,410,6560,25.625,0.381,0.569,5.55,2497,3731,450,1
1,11,11,11.0,0.727,1.0,4.0,8,11,2,2
9,15,135,1.667,0.378,0.963,2.43,51,130,21,1
27,1,27,0.037,1.0,1.0,27.0,27,27,1,4
186,469,87234,2.522,0.378,0.529,22.29,33017,46133,1481,3
9,326,2934,36.222,0.171,0.641,1.3,501,1882,385,1
10,261,2610,26.1,0.259,0.767,1.74,676,2001,388,1
10,16,160,1.6,0.444,1.0,2.22,71,160,32,1
7,207,1449,29.571,0.249,0.771,1.29,361,1117,279,1
8,20,160,2.5,0.5,1.0,2.76,80,160,29,1
6,13,78,2.167,0.308,1.0,1.41,24,78,17,1
10,126,1260,12.6,0.425,0.862,2.68,536,1086,200,1
7,62,434,8.857,0.272,0.963,1.46,118,418,81,1
10,10,100,1.0,0.5,0.53,50.0,50,53,1,1
1,73,73,73.0,0.616,1.0,3.75,45,73,12,2
10,228,2280,22.8,0.26,0.61,1.87,592,1390,316,1
12,207,2484,17.25,0.2,0.699,1.7,496,1736,292,1
14,155,2170,11.071,0.303,0.639,2.76,658,1386,238,1
8,192,1536,24.0,0.207,0.579,1.57,318,889,203,1
3,116,348,38.667,0.385,0.494,33.5,134,172,4,2
9,108,972,12.0,0.449,0.868,2.55,436,844,171,1
7,18,126,2.571,0.119,0.452,2.14,15,57,7,1
11,30,330,2.727,0.297,0.6,2.39,98,198,41,1
7,33,231,4.714,0.264,0.844,1.2,61,195,51,1
8,15,120,1.875,0.425,0.925,1.96,51,111,26,1
8,15,120,1.875,0.25,0.808,2.14,30,97,14,1
10,37,370,3.7,0.592,0.722,8.11,219,267,27,1
1,278,278,278.0,0.946,1.0,29.22,263,278,9,2
6,7,42,1.167,0.31,0.786,1.86,13,33,7,1
11,271,2981,24.636,0.168,0.598,1.35,502,1784,371,1
7,13,91,1.857,0.67,0.89,7.63,61,81,8,1
8,43,344,5.375,0.349,0.814,2.26,120,280,53,1
5,44,220,8.8,0.241,0.791,2.52,53,174,21,1
7,45,315,6.429,0.254,0.708,1.29,80,223,62,1
12,1,12,0.083,1.0,1.0,12.0,12,12,1,4
10,165,1650,16.5,0.258,0.695,1.65,426,1147,258,1
8,1,8,0.125,1.0,1.0,8.0,8,8,1,4
12,272,3264,22.667,0.249,0.602,2.01,812,1965,404,1
5,27,135,5.4,0.407,0.815,2.12,55,110,26,1
7,18,126,2.571,0.286,0.627,1.57,36,79,23,1
10,22,220,2.2,0.277,0.595,1.74,61,131,35,1
9,83,747,9.222,0.391,0.795,3.21,292,594,91,1
9,64,576,7.111,0.318,0.818,2.18,183,471,84,1
12,311,3732,25.917,0.195,0.781,1.64,727,2914,443,1
24,280,6720,11.667,0.452,0.899,7.62,3040,6042,399,1
7,14,98,2.0,0.337,0.99,1.65,33,97,20,1
6,96,576,16.0,0.274,0.901,1.58,158,519,100,1
10,18,180,1.8,0.294,0.911,1.89,53,164,28,1
12,117,1404,9.75,0.22,0.673,1.68,309,945,184,1
1,7,7,7.0,1.0,1.0,7.0,7,7,1,2
9,17,153,1.889,0.536,0.915,6.31,82,140,13,1
11,99,1089,9.0,0.23,0.601,2.14,250,654,117,1
15,29,435,1.933,0.524,0.97,4.15,228,422,55,1
9,78,702,8.667,0.464,0.89,3.33,326,625,98,1
6,40,240,6.667,0.221,0.983,1.26,53,236,42,1
6,96,576,16.0,0.198,0.668,1.61,114,385,71,1
8,23,184,2.875,0.375,0.88,2.09,69,162,33,1
8,31,248,3.875,0.351,0.839,1.98,87,208,44,1
10,271,2710,27.1,0.187,0.602,1.35,508,1632,375,1
14,58,812,4.143,0.683,0.927,12.07,555,753,46,1
7,36,252,5.143,0.409,0.861,1.84,103,217,56,1
1,186,186,186.0,0.828,1.0,9.06,154,186,17,2
6,33,198,5.5,0.247,0.813,1.2,49,161,41,1
6,2,12,0.333,0.667,1.0,8.0,8,12,1,1
9,50,450,5.556,0.496,0.958,2.69,223,431,83,1
17,341,5797,20.059,0.935,0.998,36.38,5420,5784,149,2
9,20,180,2.222,0.233,0.5,1.62,42,90,26,1
5,32,160,6.4,0.413,0.994,1.35,66,159,49,1
6,39,234,6.5,0.466,0.889,2.1,109,208,52,1
5,13,65,2.6,0.308,0.831,1.82,20,54,11,1
20,18,360,0.9,0.489,0.583,19.56,176,210,9,1
8,7,56,0.875,0.464,1.0,2.36,26,56,11,1
8,20,160,2.5,0.406,0.906,1.86,65,145,35,1
9,107,963,11.889,0.375,0.861,1.94,361,829,186,1
14,141,1974,10.071,0.278,0.67,2.29,549,1323,240,1
8,37,296,4.625,0.334,0.831,1.87,99,246,53,1
7,18,126,2.571,0.214,0.929,1.13,27,117,24,1
25,186,4650,7.44,0.456,0.868,8.06,2121,4035,263,1
8,18,144,2.25,0.174,0.458,2.5,25,66,10,1
7,141,987,20.143,0.16,0.757,1.17,158,747,135,1
212,464,98368,2.189,0.052,0.07,11.84,5066,6884,428,5
8,76,608,9.5,0.232,0.51,1.88,141,310,75,1
7,22,154,3.143,0.396,1.0,1.85,61,154,33,1
7,8,56,1.143,0.482,1.0,2.25,27,56,12,1
7,33,231,4.714,0.346,0.879,1.36,80,203,59,1
6,7,42,1.167,0.286,0.857,1.5,12,36,8,1
9,12,108,1.333,0.407,1.0,1.63,44,108,27,1
19,45,855,2.368,0.243,0.582,3.01,208,498,69,1
8,76,608,9.5,0.388,0.903,2.11,236,549,112,1
10,54,540,5.4,0.319,0.824,1.83,172,445,94,1
7,11,77,1.571,0.377,0.948,1.38,29,73,21,1
4,3,12,0.75,0.667,0.917,2.67,8,11,3,1
10,25,250,2.5,0.392,0.808,2.51,98,202,39,1
10,18,180,1.8,0.572,0.867,6.44,103,156,16,1
11,17,187,1.545,0.321,0.652,4.29,60,122,14,1
8,61,488,7.625,0.316,0.967,2.03,154,472,76,1
8,13,104,1.625,0.683,0.817,7.1,71,85,10,1
7,12,84,1.714,0.226,0.786,1.9,19,66,10,1
8,14,112,1.75,0.321,0.938,1.71,36,105,21,1
9,18,162,2.0,0.58,0.852,7.83,94,138,12,1
8,14,112,1.75,0.42,0.786,1.88,47,88,25,1
4,69,276,17.25,0.377,0.96,1.82,104,265,57,1
12,98,1176,8.167,0.267,0.627,2.33,314,737,135,1
1,44,44,44.0,0.909,1.0,20.0,40,44,2,2
6,18,108,3.0,0.5,0.991,2.45,54,107,22,1
8,4,32,0.5,0.438,0.594,7.0,14,19,2,5
14,440,6160,31.429,0.158,0.626,1.54,975,3857,632,1
10,31,310,3.1,0.645,0.774,6.67,200,240,30,1
10,47,470,4.7,0.481,0.991,2.97,226,466,76,1
11,8,88,0.727,0.409,0.477,36.0,36,42,1,1
11,12,132,1.091,0.432,0.674,4.38,57,89,13,1
2,446,892,223.0,0.439,0.603,17.82,392,538,22,2
9,166,1494,18.444,0.392,0.75,3.08,585,1120,190,1
10,79,790,7.9,0.163,0.42,1.25,129,332,103,1
8,9,72,1.125,0.375,0.986,2.08,27,71,13,1
7,343,2401,49.0,0.213,0.772,1.45,512,1854,352,1
1,14,14,14.0,0.571,1.0,2.67,8,14,3,1
10,511,5110,51.1,0.158,0.625,1.35,805,3194,596,1
7,56,392,8.0,0.329,0.791,1.65,129,310,78,1
7,40,280,5.714,0.229,0.686,1.28,64,192,50,1
7,4,28,0.571,0.5,1.0,2.33,14,28,6,1
1,88,88,88.0,0.193,1.0,1.0,17,88,17,1
9,36,324,4.0,0.54,0.929,2.87,175,301,61,1
9,83,747,9.222,0.292,0.909,2.42,218,679,90,1
9,28,252,3.111,0.258,0.607,1.51,65,153,43,1
2,536,1072,268.0,0.532,0.558,30.0,570,598,19,2
9,110,990,12.222,0.311,0.627,2.08,308,621,148,1
12,116,1392,9.667,0.331,0.756,2.62,461,1053,176,1
6,43,258,7.167,0.205,0.69,1.77,53,178,30,1
6,7,42,1.167,0.357,0.762,2.14,15,32,7,1
8,15,120,1.875,0.458,0.95,2.2,55,114,25,1
9,17,153,1.889,0.601,0.889,8.36,92,136,11,1
